feature,coefficient,abs_coefficient
Dew Point Temp_C,11.837966198656202,11.837966198656202
Rel Hum_%,-4.447344617191991,4.447344617191991
Month,3.764975921839301,3.764975921839301
DayOfYear,-3.4555427678401465,3.4555427678401465
Weather_Thunderstorms,-1.2451663882929698,1.2451663882929698
Weather_Mostly Cloudy,-1.0402083007703307,1.0402083007703307
Weather_Freezing Fog,1.0151476214573978,1.0151476214573978
"Weather_Snow,Fog",1.0130887824328505,1.0130887824328505
Weather_Mainly Clear,-0.9895010906264003,0.9895010906264003
Weather_Rain Showers,-0.9853080606262163,0.9853080606262163
Weather_Clear,-0.9849705448997539,0.9849705448997539
Weather_Cloudy,-0.8989165607912164,0.8989165607912164
Weather_Snow Showers,-0.8787315419628942,0.8787315419628942
"Weather_Freezing Rain,Fog",0.7967916155078774,0.7967916155078774
"Weather_Freezing Rain,Snow Grains",0.7672527964441882,0.7672527964441882
"Weather_Freezing Drizzle,Fog",0.7112938615597334,0.7112938615597334
Weather_Fog,0.6754701597943114,0.6754701597943114
"Weather_Freezing Drizzle,Snow",0.5869513142433838,0.5869513142433838
Weather_Freezing Rain,0.5524463861051037,0.5524463861051037
Weather_Moderate Snow,0.5234845746434924,0.5234845746434924
"Weather_Thunderstorms,Rain Showers,Fog",-0.4857506765824491,0.4857506765824491
"Weather_Drizzle,Fog",0.4716409943261908,0.4716409943261908
"Weather_Thunderstorms,Rain Showers",-0.4529233749729694,0.4529233749729694
Weather_Freezing Drizzle,0.43932914695287506,0.43932914695287506
"Weather_Thunderstorms,Rain",-0.42507537586684707,0.42507537586684707
"Weather_Rain,Fog",0.39103612392621545,0.39103612392621545
Weather_Rain,-0.3700201701663207,0.3700201701663207
Day,0.361673803566399,0.361673803566399
"Weather_Rain,Snow",0.28784909195722463,0.28784909195722463
"Weather_Freezing Drizzle,Haze",0.28430754155864385,0.28430754155864385
"Weather_Freezing Rain,Haze",0.2701066095790521,0.2701066095790521
"Weather_Thunderstorms,Rain,Fog",-0.23255365636597372,0.23255365636597372
DayOfYear_sin,0.22127819229378398,0.22127819229378398
"Weather_Snow,Blowing Snow",0.21905536682196247,0.21905536682196247
"Weather_Snow,Ice Pellets",-0.18266064497543924,0.18266064497543924
"Weather_Thunderstorms,Moderate Rain Showers,Fog",0.1752823975979533,0.1752823975979533
"Weather_Thunderstorms,Heavy Rain Showers",0.14693924715545226,0.14693924715545226
Hour_sin,-0.1326995254229879,0.1326995254229879
Visibility_km,0.11989288166004751,0.11989288166004751
DayOfYear_cos,0.09006886120942326,0.09006886120942326
Hour,-0.08529520084684838,0.08529520084684838
"Weather_Rain,Haze",-0.07694828811722801,0.07694828811722801
Weather_Snow,-0.062175039068946114,0.062175039068946114
Weather_Haze,-0.061754230461216864,0.061754230461216864
Wind Speed_km/h,-0.05952115065109109,0.05952115065109109
Press_kPa,-0.03874504109743926,0.03874504109743926
Weekday,0.027265074978167048,0.027265074978167048
Weather_Drizzle,0.025848417123843226,0.025848417123843226
"Weather_Snow,Haze",0.019341895359411276,0.019341895359411276
Hour_cos,-0.0041868558930509,0.0041868558930509
IsWeekend,-0.003226617808364085,0.003226617808364085
Year,-1.331434962281719e-13,1.331434962281719e-13
