feature,coefficient,abs_coefficient
Pressure3pm,-1.314754144555744,1.314754144555744
Humidity3pm,1.196107619542313,1.196107619542313
Location_Darwin,-1.1275536355178306,1.1275536355178306
Location_Townsville,-1.1112093152622913,1.1112093152622913
Pressure9am,0.8835127111026025,0.8835127111026025
Location_Katherine,-0.7430722926346962,0.7430722926346962
Location_Wollongong,-0.7228295801123977,0.7228295801123977
Location_Adelaide,0.6846606815450912,0.6846606815450912
WindGustSpeed,0.6812577401104218,0.6812577401104218
Location_Albury,0.5743239816687234,0.5743239816687234
Location_Witchcliffe,0.5719963666720698,0.5719963666720698
Location_NorahHead,-0.5443464136302711,0.5443464136302711
Location_Tuggeranong,0.5197468266545707,0.5197468266545707
Location_SalmonGums,0.5194505113572988,0.5194505113572988
Location_Perth,0.48946064636428493,0.48946064636428493
Location_GoldCoast,-0.48795194352353427,0.48795194352353427
Location_Cairns,-0.47004939055928124,0.47004939055928124
DayOfYear_cos,-0.46112200167573003,0.46112200167573003
Location_MountGinini,-0.4342351836940097,0.4342351836940097
Location_Penrith,0.4145813572071341,0.4145813572071341
Location_NorfolkIsland,-0.39319967408043455,0.39319967408043455
RainToday_No,-0.3680077471561495,0.3680077471561495
Location_MelbourneAirport,-0.3631529724543131,0.3631529724543131
Location_WaggaWagga,0.3557251136709156,0.3557251136709156
Location_Williamtown,0.34967379600302273,0.34967379600302273
MaxTemp,-0.34946880280110476,0.34946880280110476
Location_Canberra,0.3365492546673205,0.3365492546673205
Location_PerthAirport,0.3297808338546572,0.3297808338546572
Location_Hobart,-0.3289199527248603,0.3289199527248603
Location_PearceRAAF,0.30934534962896115,0.30934534962896115
WindDir3pm_NNW,0.308479153935962,0.308479153935962
Location_Bendigo,0.30464491420516504,0.30464491420516504
Sunshine,-0.3021473449986389,0.3021473449986389
Location_Cobar,0.3002777311013495,0.3002777311013495
Location_Woomera,-0.29951335394539846,0.29951335394539846
Cloud3pm,0.28560181347342734,0.28560181347342734
Temp3pm,0.27870979481853825,0.27870979481853825
WindDir3pm_NW,0.272052764245016,0.272052764245016
WindDir9am_S,-0.26984898883971703,0.26984898883971703
WindDir9am_SSE,-0.26240097289897657,0.26240097289897657
Location_AliceSprings,-0.2482100878858157,0.2482100878858157
WindDir3pm_SW,-0.2473264661786597,0.2473264661786597
Location_Dartmoor,0.2438444876493788,0.2438444876493788
Location_Brisbane,0.23939239371942772,0.23939239371942772
Month_cos,0.23898003450073305,0.23898003450073305
WindGustDir_NNE,-0.2296723095403931,0.2296723095403931
MinTemp,0.2249560392828096,0.2249560392828096
Temp9am,0.22258862290344741,0.22258862290344741
WindDir9am_NNE,0.22251065599303307,0.22251065599303307
Location_SydneyAirport,-0.2193987168845261,0.2193987168845261
WindDir9am_ESE,-0.21693541803124483,0.21693541803124483
WindDir3pm_N,0.20640110248005697,0.20640110248005697
WindGustDir_NE,-0.2014175094774006,0.2014175094774006
WindDir9am_SE,-0.200384487506353,0.200384487506353
Location_BadgerysCreek,0.19679047230803218,0.19679047230803218
Location_Walpole,0.19523279959047235,0.19523279959047235
WindDir3pm_NE,-0.19303932625475254,0.19303932625475254
