Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Year,Month,Day,Hour,Weekday,IsWeekend,Hour_sin,Hour_cos
2.4,-7.4,48.0,6.0,26.349999999999998,103.135,2012,11,17,15,5,1,-0.7071067811865471,-0.7071067811865479
0.4,-1.0,90.0,19.0,22.750000000000004,99.015,2012,2,25,4,5,1,0.8660254037844386,0.5000000000000001
10.9,1.8,53.0,19.0,25.0,100.91,2012,4,20,1,4,0,0.25881904510252074,0.9659258262890683
-7.7,-10.9,78.0,19.0,22.750000000000004,101.14,2012,1,31,19,1,0,-0.9659258262890684,0.2588190451025203
26.8,17.3,56.0,15.0,24.1,100.45,2012,9,6,12,3,0,1.2246467991473532e-16,-1.0
-8.9,-13.1,72.0,36.5,22.750000000000004,99.67,2012,1,14,0,5,1,0.0,1.0
28.1,20.7,64.0,13.0,24.1,100.43,2012,7,16,14,0,0,-0.4999999999999997,-0.8660254037844388
11.9,2.3,52.0,36.5,26.349999999999998,101.19,2012,4,17,6,1,0,1.0,6.123233995736766e-17
27.9,13.3,41.0,11.0,26.349999999999998,101.68,2012,8,24,16,4,0,-0.8660254037844385,-0.5000000000000004
-10.5,-12.6,85.0,19.0,25.0,101.47,2012,12,25,3,1,0,0.7071067811865476,0.7071067811865476
-15.8,-23.2,53.0,22.0,24.1,101.58,2012,1,3,17,1,0,-0.9659258262890683,-0.25881904510252063
9.5,7.0,84.0,6.0,22.750000000000004,101.13,2012,5,1,11,1,0,0.258819045102521,-0.9659258262890682
22.5,15.1,63.0,15.0,26.349999999999998,101.59,2012,7,13,7,4,0,0.9659258262890683,-0.25881904510252063
0.6,0.3,98.0,19.0,22.750000000000004,99.34,2012,12,10,13,0,0,-0.2588190451025208,-0.9659258262890683
3.3,-0.6,76.0,26.0,24.1,100.03,2012,4,27,5,4,0,0.9659258262890683,0.25881904510252074
11.0,7.4,78.0,9.0,25.0,101.56,2012,3,22,3,3,0,0.7071067811865476,0.7071067811865476
2.6,-2.3,70.0,32.0,25.0,99.21,2012,1,2,5,0,0,0.9659258262890683,0.25881904510252074
-4.4,-6.6,85.0,15.0,22.750000000000004,100.83,2012,12,28,1,4,0,0.25881904510252074,0.9659258262890683
12.0,-3.2,34.0,11.0,25.0,101.47,2012,4,30,22,0,0,-0.5000000000000004,0.8660254037844384
28.9,20.7,61.0,19.0,24.1,100.87,2012,7,31,12,1,0,1.2246467991473532e-16,-1.0
-2.0,-12.4,45.0,6.0,26.349999999999998,101.03,2012,4,3,6,1,0,1.0,6.123233995736766e-17
